Feature,Importance
svcscan.nservices,0.5137197
svcscan.shared_process_services,0.23717865
svcscan.kernel_drivers,0.2128053
svcscan.process_services,0.005765414
psxview.not_in_deskthrd,0.0023841627
callbacks.ncallbacks,0.0019170148
psxview.not_in_ethread_pool_false_avg,0.001680785
handles.avg_handles_per_proc,0.0016322454
handles.nevent,0.001563751
psxview.not_in_ethread_pool,0.0015355564
handles.nhandles,0.0014811761
ldrmodules.not_in_mem_avg,0.0012414707
ldrmodules.not_in_load_avg,0.0010415628
ldrmodules.not_in_init_avg,0.000982279
pslist.avg_handlers,0.00089688855
pslist.nppid,0.0007942806
handles.nfile,0.0007475465
ldrmodules.not_in_load,0.0007210142
dlllist.ndlls,0.0006744528
psxview.not_in_pslist_false_avg,0.00065233605
malfind.protection,0.0006388601
handles.nsection,0.00062491745
handles.ndesktop,0.00061922346
ldrmodules.not_in_mem,0.00057362067
psxview.not_in_pspcid_list_false_avg,0.000562456
handles.ndirectory,0.0005206086
handles.nmutant,0.00051056076
psxview.not_in_deskthrd_false_avg,0.00050107535
dlllist.avg_dlls_per_proc,0.000493923
handles.ntimer,0.0004724956
pslist.avg_threads,0.00046827982
psxview.not_in_pspcid_list,0.00045900626
psxview.not_in_session_false_avg,0.00045169142
pslist.nproc,0.00044304607
handles.nthread,0.00039891194
psxview.not_in_pslist,0.00039827867
svcscan.nactive,0.00038039123
psxview.not_in_csrss_handles_false_avg,0.00037853693
malfind.ninjections,0.00035446134
ldrmodules.not_in_init,0.0003487128
handles.nkey,0.00029716655
handles.nsemaphore,0.0002843224
malfind.commitCharge,0.00027974413
malfind.uniqueInjections,0.00012410205
psxview.not_in_csrss_handles,0.0
psxview.not_in_session,0.0
psxview.not_in_eprocess_pool,0.0
psxview.not_in_eprocess_pool_false_avg,0.0
modules.nmodules,0.0
svcscan.fs_drivers,0.0
callbacks.nanonymous,0.0
callbacks.ngeneric,0.0
