pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
0.9882993,0.8626144,0.041249756,0.047929812,0.84623617,0.13645282,0.35539296,0.05618104,0.025689118,0.91359484,1.4485931,0.96525466,0.8725431,0.9783236,0.69840795,0.5056255,0.83139926,0.60118896,1.1209762,1.2092081,1.1209477,0.5760795,0.40498093,0.5756979,-0.20241016,-0.15858546,-0.20494916,-0.14902367,0.7062425,-0.045031417,0.6052451,0.7008629,0.6044919,0.7063259,0.59498775,0.6329912,-0.060935527,0.7285367,0.62602603,0.5142236,0.5079175,0.70120674,0.19815907,0.14409624,0.31611335,0.022101043,-0.7016135,0.74330705,1.4308971,0.025675317,-0.028988551,0.008036861
-0.24803211,-0.64497477,1.2332904,0.40799025,0.6794377,1.2181394,0.3186814,0.29729494,0.041321933,0.67031974,-0.10821652,0.5723977,0.88093865,-0.14795211,0.49752998,0.7727789,1.2103549,0.9430568,0.16301504,0.09008958,0.162911,-0.120203964,-0.40667573,-0.12033278,-0.20241016,-0.15858546,-0.20494916,-0.14902367,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,-0.70085174,-0.6368085,-0.060935527,-0.6509248,-0.6322322,-0.62493306,-0.6186755,-0.9712097,0.19815907,0.8385481,0.31611335,0.022101043,1.2626196,0.74330705,0.35264632,0.35178766,-0.028988551,0.008036861
0.45844302,0.8626144,-0.7652231,-0.3678247,-0.5002822,-1.0981185,-0.26271015,-0.2681984,-0.059770275,-0.6254924,0.47558713,-0.5795388,-0.43296683,0.5687688,-0.390562,-0.295835,-0.7317925,-0.62953526,0.056574896,-0.0031703017,0.056462478,0.52415603,0.6150513,0.5237933,-0.27028745,-0.15890698,-0.27283174,-0.27421016,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,0.16304122,-0.71164453,-0.060935527,-0.7156291,-0.706388,-0.8300447,-0.7717465,0.27938673,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,0.35264632,-9.757694,-0.028988551,0.008036861
-0.24803211,-0.64497477,1.0251617,0.36602822,0.6218164,1.171986,0.26998237,0.26540285,0.036110993,0.63184255,-0.10821652,0.45254308,0.7424119,-0.14795211,0.4552399,0.7727789,0.4998131,0.51914066,-0.049865242,-0.14306013,-0.04998605,-0.3355657,-0.652639,-0.33561632,-0.20241016,-0.15858546,-0.20494916,-0.14902367,0.7062425,-0.045031417,0.38398197,0.7008629,0.3832586,0.7063259,0.16304122,0.8675484,-0.060935527,0.64976406,0.8584513,0.65723085,0.88039845,0.27938673,0.19815907,0.8385481,0.31611335,0.022101043,1.2626196,0.74330705,0.35264632,0.35178766,-0.028988551,0.008036861
0.6350618,1.616409,-1.159665,-0.4239412,-0.40930128,-1.1270564,-0.27675796,-0.3349919,-0.06029137,-0.6850699,0.67018837,-0.45968416,-0.6890315,0.87593484,-0.42227957,0.104895234,-0.67088896,-0.54748696,-0.2627455,-0.0031703017,-0.2628831,-0.08991824,0.24729294,-0.09005804,-0.27028745,-0.15890698,-0.27283174,-0.27421016,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,-0.4848785,-0.71164453,-0.060935527,-0.7156291,-0.706388,-0.8630952,-0.7901037,-0.8875963,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,-0.006770648,-0.300437,-0.028988551,0.008036861
-0.07141332,-1.021872,1.4219344,0.48767072,1.0191,1.515177,0.44024166,0.35785392,0.0483567,1.0550915,0.086384684,1.0318406,1.2545412,0.056825295,0.941576,0.8395673,0.8449334,1.3259488,1.3870766,1.1625781,1.387069,0.75683427,0.2675588,0.756387,-0.066655606,-0.15826394,-0.06918399,-0.19909826,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,-0.4848785,-0.71164453,-0.060935527,-0.7156291,-0.706388,-0.7212196,-0.71130216,-0.67442673,0.19815907,0.8385481,0.31611335,0.022101043,1.2626196,0.74330705,0.35264632,0.35178766,-0.028988551,0.008036861
-0.42465088,0.10881977,-0.68949145,-0.3253164,-0.91879475,-0.8774214,-0.40749612,-0.22618929,-0.076445274,-0.9630986,-0.6920201,-0.30653653,-1.0290518,-0.864673,-1.1623561,-0.9637187,-0.85359967,-1.1218249,-1.0610466,-1.029029,-1.061247,-0.71245307,-0.47634,-0.7123669,-0.27028745,-0.15890698,-0.27283174,-0.27421016,-0.29147413,-0.045031417,-0.058544293,-0.29067126,-0.05920797,-0.29138717,-0.26890525,-0.2773665,-0.060935527,0.035337105,-0.27605718,0.13668448,-0.2347994,-0.20478716,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,-1.0850215,0.35178766,-0.028988551,0.008036861
-0.24803211,0.48571706,-0.96164775,-0.32323778,-0.77929056,-0.8456196,-0.36685115,-0.258455,-0.0704527,-0.8253254,-0.30281773,-0.75266224,-0.96188724,-0.14795211,-0.80289036,-0.4962001,-0.7723949,-0.6979088,-0.8481663,-0.7492494,-0.84835,-0.52409106,-0.24450155,-0.5240733,-0.27028745,-0.15890698,-0.27283174,-0.27421016,0.7062425,-0.045031417,0.38398197,0.7008629,0.3832586,0.7063259,0.3790145,0.8675484,-0.060935527,0.64976406,0.8584513,0.65723085,0.88039845,0.6518283,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,-0.36618757,0.025675317,-0.028988551,0.008036861
-0.24803211,0.48571706,-1.1351318,-0.35120592,-0.92182744,-1.0508744,-0.39269912,-0.27971143,-0.06706559,-0.8799382,-0.30281773,-0.5262701,-1.0752274,-0.45511818,-0.84518045,-1.1640838,-0.70472425,-1.1081501,-0.9013864,-0.7958793,-0.90157425,-0.46018496,-0.079033904,-0.46019036,-0.27028745,-0.15890698,-0.27283174,-0.27421016,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,-0.4848785,-0.71164453,-0.060935527,-0.7156291,-0.706388,-0.68131715,-0.68913925,-0.61447257,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,-1.0850215,0.025675317,-0.028988551,0.008036861
1.5181557,1.2395116,0.086598,0.11769014,1.6984246,0.5730894,0.5552463,0.076660246,0.054870375,1.1742467,2.4215991,1.8575063,1.1370033,1.899822,1.4807748,1.5074509,0.9870418,1.5447443,1.5467367,1.7687674,1.5467417,0.5373378,0.3100857,0.5369702,0.0012216712,-0.15810318,-0.0013014153,-0.18928482,1.0388147,-0.045031417,0.6052451,1.0313742,0.6044919,1.0388969,0.59498775,1.0435007,-0.060935527,0.80189496,1.0328044,0.5025069,0.88650084,0.33635956,0.19815907,0.14409624,0.31611335,0.022101043,-0.7016135,0.74330705,1.7903141,0.025675317,-0.028988551,0.008036861
-0.24803211,-1.021872,1.187213,0.3897791,0.64911073,1.0103097,0.34359282,0.28345406,0.05773639,0.9607604,-0.10821652,0.19285792,1.0320588,-0.0455634,0.5503926,0.7059906,1.0817807,0.31401998,0.16301504,0.043459635,0.162911,-0.037922647,-0.36046603,-0.038081326,-0.27028745,-0.15874623,-0.27283174,-0.086430445,-0.29147413,-0.045031417,-0.27980742,-0.29067126,-0.28044125,-0.29138717,-0.26890525,-0.21849827,-0.060935527,-0.2892477,-0.21772401,-0.29961294,-0.2191669,-0.2735679,0.19815907,0.8385481,0.31611335,0.022101043,1.2626196,0.74330705,0.35264632,0.35178766,-0.028988551,0.008036861
0.6350618,1.616409,-1.1456459,-0.42087865,-0.40930128,-1.1270564,-0.2735738,-0.3326643,-0.060551915,-0.67762274,0.67018837,-0.4263912,-0.66804254,0.87593484,-0.42227957,0.104895234,-0.67088896,-0.54748696,-0.2627455,-0.0031703017,-0.2628831,-0.08991824,0.24729294,-0.09005804,-0.27028745,-0.15890698,-0.27283174,-0.27421016,-0.6240463,-0.045031417,-0.50107056,-0.6211826,-0.50167453,-0.6239582,-0.4848785,-0.71164453,-0.060935527,-0.7156291,-0.706388,-0.8630952,-0.7901037,-0.8875963,0.19815907,-0.55035555,-0.2250812,0.022101043,-0.7016135,-0.59763354,-0.006770648,-0.300437,-0.028988551,0.008036861
